區域別,戶數,人口數
新北市,935,2525
新北市,3989,7426
新北市,2082,5474
新北市,1843,4544
新北市,2497,5661
新北市,1466,3789
新北市,2405,5598
新北市,2004,4886
新北市,1394,3341
新北市,2057,5889
新北市,982,2428
新北市,254,817
新北市,3448,8497
新北市,941,2637
新北市,2670,6614
新北市,950,2801
新北市,2040,5565
新北市,1438,4232
新北市,1883,5241
新北市,1818,4805
新北市,991,2491
新北市,1683,4798
新北市,1282,3460
新北市,1922,5363
新北市,1752,4687
新北市,1782,4397
新北市,1501,4090
新北市,1818,4858
新北市,1553,4136
新北市,1567,3869
新北市,2786,6924
新北市,808,1880
新北市,1942,4547
新北市,1089,2765
新北市,1074,2571
新北市,1255,3354
新北市,881,2286
新北市,1563,4565
新北市,2780,7153
新北市,1302,3212
新北市,1133,3070
新北市,1687,4366
新北市,1535,4366
新北市,1457,4081
新北市,1113,2950
新北市,1365,3517
新北市,1660,4574
新北市,1297,3568
新北市,1316,3509
新北市,1368,3730
新北市,1269,3164
新北市,1438,3621
新北市,1185,2871
新北市,2667,5028
新北市,1321,3180
新北市,1142,2768
新北市,1477,3672
新北市,1156,2925
新北市,1229,3069
新北市,442,1065
新北市,321,867
新北市,1969,5146
新北市,1491,3961
新北市,2996,7706
新北市,2092,5370
新北市,1821,4413
新北市,1890,4964
新北市,1781,4894
新北市,1291,3072
新北市,564,1318
新北市,1582,4221
新北市,1193,3092
新北市,921,2081
新北市,1561,3898
新北市,1727,4147
新北市,1745,4150
新北市,1685,4320
新北市,1301,3051
新北市,1502,3371
新北市,1093,2593
新北市,1925,4888
新北市,2042,5183
新北市,1228,2788
新北市,1961,5100
新北市,1627,4307
新北市,1936,5019
新北市,749,1760
新北市,1002,2511
新北市,2318,5504
新北市,1861,4588
新北市,1389,3596
新北市,359,930
新北市,416,1016
新北市,967,2185
新北市,2121,5172
新北市,973,2355
新北市,1551,4157
新北市,2054,5289
新北市,1367,3443
新北市,1547,4308
新北市,1074,2874
新北市,1503,3663
新北市,501,1263
新北市,1005,2357
新北市,1334,3429
新北市,1478,3877
新北市,1909,4387
新北市,1206,2712
新北市,823,1913
新北市,1157,3253
新北市,1242,3279
新北市,1157,2656
新北市,4354,10886
新北市,2092,5768
新北市,3099,7192
新北市,575,1669
新北市,1808,4779
新北市,1827,4222
新北市,1369,4019
新北市,1883,5109
新北市,1681,4860
新北市,2539,7401
新北市,824,2252
新北市,2198,6371
新北市,1212,3301
新北市,1414,3796
新北市,1689,4907
新北市,3965,11202
新北市,2730,4899
新北市,1794,4781
新北市,2157,6359
新北市,719,1933
新北市,863,2319
新北市,2624,7574
新北市,683,1964
新北市,2205,6806
新北市,909,2573
新北市,2116,5808
新北市,896,2476
新北市,1958,5579
新北市,1042,2895
新北市,980,2750
新北市,2055,5827
新北市,1860,5449
新北市,2088,6342
新北市,1739,5068
新北市,1406,3950
新北市,1150,3230
新北市,1307,3613
新北市,1529,4204
新北市,2666,7848
新北市,1562,4490
新北市,920,2396
新北市,1527,4859
新北市,1149,2852
新北市,3069,8475
新北市,1523,4942
新北市,2182,5821
新北市,1651,4798
新北市,1632,4680
新北市,4200,11248
新北市,972,2672
新北市,3505,9313
新北市,1126,2889
新北市,1763,4874
新北市,3696,10316
新北市,3120,9284
新北市,1817,4928
新北市,910,2680
新北市,1358,3951
新北市,1290,3876
新北市,1841,5193
新北市,1941,5417
新北市,1449,3965
新北市,2327,6658
新北市,1287,3844
新北市,2554,5647
新北市,1462,3750
新北市,1457,3947
新北市,822,2488
新北市,1076,2661
新北市,1086,3162
新北市,2457,6902
新北市,1790,5356
新北市,2084,6075
新北市,1378,3850
新北市,1702,4677
新北市,3458,9528
新北市,4607,11767
新北市,1000,2648
新北市,1471,3976
新北市,847,2397
新北市,898,2577
新北市,1339,3971
新北市,1534,4254
新北市,1596,4878
新北市,942,2999
新北市,1444,3514
新北市,1763,4138
新北市,1583,3846
新北市,1772,4146
新北市,2336,5672
新北市,2409,5363
新北市,2594,5647
新北市,3026,6449
新北市,1299,2864
新北市,1261,2711
新北市,1345,3174
新北市,677,1736
新北市,1367,3423
新北市,3557,9275
新北市,2010,5423
新北市,4341,11563
新北市,2345,6661
新北市,2112,5965
新北市,2231,6113
新北市,2314,6213
新北市,347,1042
新北市,2139,5456
新北市,2034,4963
新北市,312,871
新北市,1346,3281
新北市,876,2639
新北市,702,1819
新北市,600,1410
新北市,454,1292
新北市,2254,5630
新北市,798,1872
新北市,1065,2120
新北市,1104,2681
新北市,793,1820
新北市,408,864
新北市,956,2387
新北市,3992,7657
新北市,2599,6109
新北市,1209,2835
新北市,3554,8350
新北市,3091,7387
新北市,1984,4340
新北市,1097,2557
新北市,2684,6700
新北市,1946,4465
新北市,925,2184
新北市,1632,4128
新北市,1408,3507
新北市,1662,4214
新北市,1509,3572
新北市,1783,4280
新北市,2303,4819
新北市,400,959
新北市,2568,5855
新北市,1394,3649
新北市,2877,7431
新北市,1818,4922
新北市,3176,7417
新北市,1445,3963
新北市,4547,10441
新北市,1346,3237
新北市,1460,3481
新北市,1074,2839
新北市,2290,5443
新北市,1147,2655
新北市,1719,4309
新北市,2172,5996
新北市,1910,3839
新北市,1185,2618
新北市,1443,4350
新北市,1528,4407
新北市,1800,5203
新北市,1349,3797
新北市,2377,6805
新北市,2042,5172
新北市,1853,5387
新北市,1395,3911
新北市,2037,5514
新北市,1556,4486
新北市,1244,3680
新北市,602,1835
新北市,522,1240
新北市,1279,3714
新北市,1419,4191
新北市,1742,5442
新北市,1918,5502
新北市,1149,3401
新北市,2192,6410
新北市,1763,5115
新北市,606,1880
新北市,695,1914
新北市,641,1937
新北市,6254,14697
新北市,774,2383
新北市,3869,9274
新北市,431,967
新北市,1587,4672
新北市,1408,4045
新北市,1450,3790
新北市,1400,4209
新北市,1522,4598
新北市,2089,6257
新北市,1914,5611
新北市,1980,6130
新北市,1827,5551
新北市,1164,3269
新北市,1222,3556
新北市,964,2972
新北市,1056,2945
新北市,596,1792
新北市,757,2194
新北市,405,1150
新北市,881,2460
新北市,2154,6307
新北市,1896,4543
新北市,404,1164
新北市,194,582
新北市,690,2058
新北市,2938,9497
新北市,1310,3875
新北市,2525,7575
新北市,2761,8338
新北市,329,1087
新北市,125,305
新北市,1938,5623
新北市,1579,5110
新北市,1516,4296
新北市,1630,5334
新北市,2050,6373
新北市,1663,5004
新北市,2448,7356
新北市,129,324
新北市,283,699
新北市,1412,4094
新北市,1045,2899
新北市,433,1287
新北市,2765,8040
新北市,2164,5997
新北市,3786,10512
新北市,3463,9621
新北市,1412,4390
新北市,794,2705
新北市,423,1261
新北市,230,570
新北市,374,997
新北市,371,784
新北市,371,830
新北市,864,2547
新北市,572,1709
新北市,1025,3325
新北市,331,1043
新北市,603,1579
新北市,908,2201
新北市,2558,6952
新北市,2799,8106
新北市,1753,5610
新北市,1341,3735
新北市,6330,14672
新北市,2513,6080
新北市,208,640
新北市,362,1214
新北市,649,1685
新北市,688,1745
新北市,473,1119
新北市,1160,2963
新北市,352,945
新北市,4950,9621
新北市,683,1625
新北市,3123,7412
新北市,2288,6217
新北市,4325,9861
新北市,898,2415
新北市,424,1272
新北市,614,1375
新北市,643,1456
新北市,3329,6679
新北市,2937,6320
新北市,3342,7270
新北市,2746,5259
新北市,5221,10179
新北市,2623,6313
新北市,1723,4317
新北市,635,1576
新北市,491,1248
新北市,355,870
新北市,627,1620
新北市,386,987
新北市,292,817
新北市,232,484
新北市,828,1965
新北市,2328,5824
新北市,1673,4020
新北市,1556,4510
新北市,3064,7818
新北市,1964,4927
新北市,1981,4716
新北市,1352,2944
新北市,2005,4387
新北市,1646,4404
新北市,2091,4702
新北市,2920,6269
新北市,631,1452
新北市,463,1086
新北市,2117,4667
新北市,164,343
新北市,1173,3001
新北市,2631,5699
新北市,2284,5771
新北市,3239,7159
新北市,1785,4955
新北市,682,1685
新北市,635,1692
新北市,1763,4328
新北市,898,2401
新北市,2419,6206
新北市,2086,5158
新北市,739,1586
新北市,469,1046
新北市,969,2260
新北市,1821,4529
新北市,2548,5397
新北市,1835,4469
新北市,2082,4617
新北市,281,606
新北市,1686,3592
新北市,1418,2916
新北市,3269,7298
新北市,2754,5626
新北市,761,1808
新北市,3029,7588
新北市,3341,7722
新北市,2179,5255
新北市,1758,4423
新北市,2290,4977
新北市,1458,3262
新北市,1393,3043
新北市,2664,5126
新北市,1549,3389
新北市,529,1220
新北市,1982,4094
新北市,1140,2806
新北市,1250,2886
新北市,2096,5243
新北市,2929,6252
新北市,558,975
新北市,2418,6377
新北市,1820,4636
新北市,2316,5228
新北市,1986,4695
新北市,1383,2589
